

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.036  000.036: --- VIM STARTING ---
000.295  000.259: Allocated generic buffers
001.847  001.552: locale set
001.858  000.011: clipboard setup
001.870  000.012: window checked
004.513  002.643: inits 1
004.537  000.024: parsing arguments
004.539  000.002: expanding arguments
011.162  006.623: shell init
012.107  000.945: Termcap init
012.158  000.051: inits 2
012.488  000.330: init highlight
030.680  015.959  015.959: sourcing /usr/local/share/vim/vim82/filetype.vim
031.016  000.074  000.074: sourcing /usr/local/share/vim/vim82/ftplugin.vim
031.253  000.027  000.027: sourcing /usr/local/share/vim/vim82/filetype.vim
031.670  000.085  000.085: sourcing /usr/local/share/vim/vim82/indent.vim
032.003  000.076  000.076: sourcing /usr/local/share/vim/vim82/delmenu.vim
033.317  000.047  000.047: sourcing /usr/local/share/vim/vim82/lang/menu_en_gb.latin1.vim
033.739  000.030  000.030: sourcing /usr/local/Cellar/vim/8.2.2300/share/vim/vim82/lang/menu_en_gb.latin1.vim
033.750  000.197  000.167: sourcing /usr/local/share/vim/vim82/lang/menu_en_gb.utf-8.vim
034.947  000.090  000.090: sourcing /usr/local/share/vim/vim82/autoload/paste.vim
039.840  007.726  007.392: sourcing /usr/local/share/vim/vim82/menu.vim
041.999  001.285  001.285: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
042.316  001.821  000.536: sourcing /usr/local/share/vim/vim82/syntax/synload.vim
042.373  002.115  000.294: sourcing /usr/local/share/vim/vim82/syntax/syntax.vim
043.200  000.439  000.439: sourcing /usr/local/share/vim/vim82/syntax/syncolor.vim
045.033  031.056  004.555: sourcing /Users/harvey/.vim_runtime/vimrcs/basic.vim
045.446  000.212  000.212: sourcing /Users/harvey/.vim_runtime/vimrcs/filetypes.vim
046.616  000.581  000.581: sourcing /Users/harvey/.vim_runtime/autoload/pathogen.vim
052.743  003.955  003.955: sourcing /usr/local/share/vim/vim82/ftoff.vim
063.634  009.695  009.695: sourcing /usr/local/share/vim/vim82/filetype.vim
074.872  002.438  002.438: sourcing /usr/local/share/vim/vim82/ftoff.vim
083.376  000.063  000.063: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nginx.vim/ftdetect/nginx.vim
083.587  000.048  000.048: sourcing /Users/harvey/.vim_runtime/sources_non_forked/rust.vim/ftdetect/rust.vim
083.787  000.026  000.026: sourcing /Users/harvey/.vim_runtime/sources_non_forked/typescript-vim/ftdetect/typescript.vim
083.993  000.046  000.046: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-bundle-mako/ftdetect/mako.vim
084.205  000.060  000.060: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-coffee-script/ftdetect/coffee.vim
084.300  000.026  000.026: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-coffee-script/ftdetect/vim-literate-coffeescript.vim
084.518  000.018  000.018: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-fugitive/ftdetect/fugitive.vim
084.738  000.015  000.015: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-javascript/ftdetect/flow.vim
084.845  000.041  000.041: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-javascript/ftdetect/javascript.vim
085.011  000.014  000.014: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-less/ftdetect/less.vim
085.200  000.056  000.056: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-markdown/ftdetect/markdown.vim
085.415  000.042  000.042: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-pug/ftdetect/pug.vim
085.768  000.131  000.131: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-ruby/ftdetect/ruby.vim
086.019  000.180  000.180: sourcing /Users/harvey/.vim_runtime/sources_non_forked/vim-ruby/ftdetect/ruby_extra.vim
086.451  010.761  009.995: sourcing /usr/local/share/vim/vim82/filetype.vim
